来源,listing_id,listing_key,タイトル,年式,走行距離,色,販売店場所,販売店都道府県,url,本体価格,総価格
u-media,1264191,u-media:1264191,CB400SF REVO,2019,1551,キャンディークロモスフィアレッド（红白黑）,ユーメディア横浜新山下,神奈川県,https://u-media.ne.jp/bike/detail.php?skanrino=1264191,1595000,
u-media,1264982,u-media:1264982,CB400SF REVO,2019,1178,アトモスフィアブルーメタリック（蓝白）,ユーメディア湘南,神奈川県,https://u-media.ne.jp/bike/detail.php?skanrino=1264982,1595000,
u-media,1265194,u-media:1265194,CB400SF REVO,2019,405,キャンディークロモスフィアレッド（红白黑）,ユーメディア相模原,神奈川県,https://u-media.ne.jp/bike/detail.php?skanrino=1265194,1595000,
u-media,1265196,u-media:1265196,CB400SF REVO,2019,393,キャンディークロモスフィアレッド（红白黑）,ユーメディア藤沢,神奈川県,https://u-media.ne.jp/bike/detail.php?skanrino=1265196,1595000,
u-media,1279228,u-media:1279228,CB400SF REVO,2019,912,アトモスフィアブルーメタリック（蓝白）,ユーメディア相模原,神奈川県,https://u-media.ne.jp/bike/detail.php?skanrino=1279228,1595000,
u-media,1283116,u-media:1283116,CB400SF REVO,2019,371,アトモスフィアブルーメタリック（蓝白）,ユーメディア横浜青葉,神奈川県,https://u-media.ne.jp/bike/detail.php?skanrino=1283116,1595000,
u-media,1369277,u-media:1369277,CB400SF,2019,849,キャンディークロモスフィアレッド（红白黑）,ユーメディア横浜新山下,神奈川県,https://u-media.ne.jp/bike/detail.php?skanrino=1369277,1595000,
u-media,1386534,u-media:1386534,CB400SF,2019,524,キャンディークロモスフィアレッド（红白黑）,ユーメディア横浜新山下,神奈川県,https://u-media.ne.jp/bike/detail.php?skanrino=1386534,1595000,
webike,1797694,webike:1797694,CB400スーパーフォア [REVO] /ホンダ,2019,405,キャンディークロモスフィアレッド（红白黑）,神奈川県 相模原市南区 鵜野森1-9-15,神奈川県,https://moto.webike.net/bike_detail/1797694/,1595000,
webike,2003268,webike:2003268,CB400スーパーフォア /ホンダ 純正グリップヒーター,2020,713,アトモスフィアブルーメタリック（蓝白）,神奈川県 川崎市幸区 南加瀬5-4-1,神奈川県,https://moto.webike.net/bike_detail/2003268/,1595000,
webike,2015805,webike:2015805,CB400スーパーフォア /ホンダ,2019,371,アトモスフィアブルーメタリック（蓝白）,神奈川県 横浜市青葉区 荏田町344-1,神奈川県,https://moto.webike.net/bike_detail/2015805/,1595000,
webike,2018740,webike:2018740,CB400スーパーフォア [REVO] /ホンダ,2019,912,アトモスフィアブルーメタリック（蓝白）,神奈川県 相模原市南区 鵜野森1-9-15,神奈川県,https://moto.webike.net/bike_detail/2018740/,1595000,
webike,2247887,webike:2247887,CB400スーパーフォア /ホンダ,2019,393,キャンディークロモスフィアレッド（红白黑）,神奈川県 藤沢市 立石2丁目1-1,神奈川県,https://moto.webike.net/bike_detail/2247887/,1595000,
webike,2358304,webike:2358304,CB400スーパーフォア /ホンダ,2019,1551,キャンディークロモスフィアレッド（红白黑）,神奈川県 横浜市中区 新山下1丁目17-39-2Ｆ,神奈川県,https://moto.webike.net/bike_detail/2358304/,1595000,
webike,2401456,webike:2401456,CB400スーパーフォア /ホンダ,2019,849,キャンディークロモスフィアレッド（红白黑）,神奈川県 横浜市中区 新山下1丁目17-39-2Ｆ,神奈川県,https://moto.webike.net/bike_detail/2401456/,1595000,
webike,2430510,webike:2430510,CB400スーパーフォア /ホンダ,2019,524,キャンディークロモスフィアレッド（红白黑）,神奈川県 横浜市中区 新山下1丁目17-39-2Ｆ,神奈川県,https://moto.webike.net/bike_detail/2430510/,1595000,
8190,2100011690769,8190:2100011690769,HONDA CB400 SUPER FOUR HYPER VTEC Revo カスタムシート・エンジンガード・低走行車両,2019,1025,キャンディークロモスフィアレッド（红白黑）,広島店第2ショールーム,広島県,https://www.8190.jp/wish/ds/bike/2100011690769/,1580000,
webike,2430731,webike:2430731,CB400スーパーフォア /ホンダ,2019,1025,キャンディークロモスフィアレッド（红白黑）,広島県 広島市南区 東雲3-5-21,広島県,https://moto.webike.net/bike_detail/2430731/,1580000,1686600
8190,2100011455214,8190:2100011455214,HONDA CB400 SUPER FOUR HYPER VTEC Revo 2019年モデル／モリワキ製マフラー＆エンジンスライダー他カスタム,2019,743,キャンディークロモスフィアレッド（红白黑）,東松山店,埼玉県,https://www.8190.jp/wish/ds/bike/2100011455214/,1548000,
webike,1949004,webike:1949004,CB400スーパーフォア /ホンダ,2019,777,アトモスフィアブルーメタリック（蓝白）,神奈川県 茅ヶ崎市 中島12-7,神奈川県,https://moto.webike.net/bike_detail/1949004/,1540000,1640200
webike,1949006,webike:1949006,CB400スーパーフォア /ホンダ,2019,1383,アトモスフィアブルーメタリック（蓝白）,神奈川県 茅ヶ崎市 中島12-7,神奈川県,https://moto.webike.net/bike_detail/1949006/,1540000,1640200
webike,1992303,webike:1992303,CB400スーパーフォア /ホンダ,2019,146,アトモスフィアブルーメタリック（蓝白）,神奈川県 茅ヶ崎市 中島12-7,神奈川県,https://moto.webike.net/bike_detail/1992303/,1540000,1640200
webike,2413153,webike:2413153,CB400スーパーフォア /ホンダ 2020年モデル NC42,2020,3507,アトモスフィアブルーメタリック（蓝白）,兵庫県 伊丹市 下河原1-2-33,兵庫県,https://moto.webike.net/bike_detail/2413153/,1532900,1623000
bikekan,285269,bikekan:285269,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 低走行美車！,2019,806,アトモスフィアブルーメタリック（蓝白）,宇都宮店,栃木県,https://www.bikekan.jp/buy/detail/285269,1499900,1615700
bikekan,289643,bikekan:289643,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 極低走行車！ フルノーマル,2019,356,アトモスフィアブルーメタリック（蓝白）,浜松有玉店,静岡県,https://www.bikekan.jp/buy/detail/289643,1499900,1585500
bikekan,289910,bikekan:289910,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【ビキニカウル・グリップヒーター装備】,2019,52,アトモスフィアブルーメタリック（蓝白）,大宮店,埼玉県,https://www.bikekan.jp/buy/detail/289910,1499900,1615700
bikekan,290472,bikekan:290472,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール）,2019,3930,キャンディークロモスフィアレッド（红白黑）,座間店,神奈川県,https://www.bikekan.jp/buy/detail/290472,1499900,1586800
8190,2100011300309,8190:2100011300309,HONDA 【残価据置 対象】CB400スーパーフォア【エンジンガード装備・2019年モデル】,2019,6029,キャンディークロモスフィアレッド（红白黑）,上熊本店,熊本県,https://www.8190.jp/wish/ds/bike/2100011300309/,1498000,
8190,2100011497313,8190:2100011497313,HONDA 【残価据置 対象】CB400 SUPER FOUR HYPER VTEC Revo 2019年モデル フルノーマル,2019,3151,ダークネスブラックメタリック（黑）,京都松井山手店,京都府,https://www.8190.jp/wish/ds/bike/2100011497313/,1498000,
webike,2418427,webike:2418427,CB400スーパーフォア /ホンダ,2019,3151,ダークネスブラックメタリック（黑）,京都府 八幡市 欽明台西40-6,京都府,https://moto.webike.net/bike_detail/2418427/,1498000,1560900
webike,2431524,webike:2431524,CB400スーパーフォア /ホンダ ABS ETC リアフェンダーレス,2019,252,キャンディークロモスフィアレッド（红白黑）,東京都 練馬区谷原 5-4-20,東京都,https://moto.webike.net/bike_detail/2431524/,1490000,1596200
8190,2100011610996,8190:2100011610996,HONDA 【残価据置 対象】CB400スーパーフォア シルキーな滑らかさと高回転まで回したくなる楽しさを誇る4気筒エンジンが愛される理由です！ 寒い日に嬉しいグリップヒーター装備!,2019,4429,キャンディークロモスフィアレッド（红白黑）,岡山店,岡山県,https://www.8190.jp/wish/ds/bike/2100011610996/,1478000,
webike,2426401,webike:2426401,CB400スーパーフォア /ホンダ,2019,4429,キャンディークロモスフィアレッド（红白黑）,岡山県 岡山市北区 大安寺南町1-1-73,岡山県,https://moto.webike.net/bike_detail/2426401/,1478000,1584600
webike,2417479,webike:2417479,CB400スーパーフォア /ホンダ 4スト FI ABS 社外マフラー USB ETC付き ブレースバー 車検2年付き,2019,4685,キャンディークロモスフィアレッド（红白黑）,福岡県 福岡市博多区 東那珂1丁目11-33,福岡県,https://moto.webike.net/bike_detail/2417479/,1459000,1569400
bikekan,287873,bikekan:287873,ホンダ CB400 SUPER FOUR REVO（スーパーフォア） 2019年モデル ビキニカウル エンジンガード,2019,1956,キャンディークロモスフィアレッド（红白黑）,足利店,栃木県,https://www.bikekan.jp/buy/detail/287873,1449900,1565700
bikekan,292922,bikekan:292922,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 低走行、ノーマル車両！,2019,685,アトモスフィアブルーメタリック（蓝白）,半田店,愛知県,https://www.bikekan.jp/buy/detail/292922,1449900,1565700
bikekan,292927,bikekan:292927,ホンダ CB400 SUPER FOUR REVO（スーパーフォア） 【4月小倉店限定！バイク館グループ中古車在庫取り寄せ費用半額キャンペーン実施中！】2019年式ETC、ヘルメットロック装着、低走行ノーマル車両！！,2019,1355,キャンディークロモスフィアレッド（红白黑）,小倉店,福岡県,https://www.bikekan.jp/buy/detail/292927,1449900,1565700
8190,2100011693784,8190:2100011693784,HONDA CB400 SUPER FOUR HYPER VTEC Revo 2019年モデル／モリワキ製エンジンスライダー／USB電源type‐A 2口付き,2019,7989,ダークネスブラックメタリック（黑）,東松山店,埼玉県,https://www.8190.jp/wish/ds/bike/2100011693784/,1448000,
webike,2430444,webike:2430444,CB400スーパーフォア /ホンダ,2019,7989,ダークネスブラックメタリック（黑）,埼玉県 東松山市 六軒町21-14,埼玉県,https://moto.webike.net/bike_detail/2430444/,1448000,1510900
bikekan,283795,bikekan:283795,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 未走行美車！ノーマル車両！【来店商談予約割引実施中！】,2019,1,ダークネスブラックメタリック（黑）,茨木鮎川店,大阪府,https://www.bikekan.jp/buy/detail/283795,1439900,1527600
u-media,1274434,u-media:1274434,CB400SF REVO,2019,5327,キャンディークロモスフィアレッド（红白黑）,ユーメディア厚木,神奈川県,https://u-media.ne.jp/bike/detail.php?skanrino=1274434,1430000,
webike,2420461,webike:2420461,CB400スーパーフォア /ホンダ ABS ハンドルアップスペーサー グリップヒーター ETC,2019,1547,アトモスフィアブルーメタリック（蓝白）,東京都 練馬区谷原 5-4-20,東京都,https://moto.webike.net/bike_detail/2420461/,1430000,1535900
webike,2393918,webike:2393918,CB400スーパーフォア /ホンダ ワンオーナー フルノーマル ヘルメットホルダー 純正キー2本付属 新品バッテリー 新品プラグ 1年保証,2020,2402,ダークネスブラックメタリック（黑）,福岡県 筑紫野市 杉塚3-3-20,福岡県,https://moto.webike.net/bike_detail/2393918/,1428900,1499300
8190,2100011492509,8190:2100011492509,HONDA 【残価据置 対象】CB400 SUPER FOUR HYPER VTEC Revo フェンダーレス,2019,8622,アトモスフィアブルーメタリック（蓝白）,名古屋守山店,愛知県,https://www.8190.jp/wish/ds/bike/2100011492509/,1428000,
8190,2100011541924,8190:2100011541924,HONDA CB400スーパーフォア レバー バーエンド ラジエーターカバー装備,2019,4157,アトモスフィアブルーメタリック（蓝白）,神戸伊川谷店,兵庫県,https://www.8190.jp/wish/ds/bike/2100011541924/,1428000,
webike,2419099,webike:2419099,CB400スーパーフォア /ホンダ,2019,8622,アトモスフィアブルーメタリック（蓝白）,愛知県 名古屋市守山区 小幡千代田15-9,愛知県,https://moto.webike.net/bike_detail/2419099/,1428000,1490900
webike,2422225,webike:2422225,CB400スーパーフォア /ホンダ,2019,4157,アトモスフィアブルーメタリック（蓝白）,兵庫県 神戸市西区 伊川谷町潤和711-1（バイクワールド伊川谷店内）,兵庫県,https://moto.webike.net/bike_detail/2422225/,1428000,1490900
webike,2430037,webike:2430037,CB400スーパーフォア /ホンダ,2019,6954,アトモスフィアブルーメタリック（蓝白）,神奈川県 横浜市瀬谷区 阿久和南1-1-7,神奈川県,https://moto.webike.net/bike_detail/2430037/,1428000,1490900
u-media,1370436,u-media:1370436,CB400SB,2020,3804,アトモスフィアブルーメタリック（蓝白）,ユーメディア横浜青葉,神奈川県,https://u-media.ne.jp/bike/detail.php?skanrino=1370436,1427800,
u-media,1379966,u-media:1379966,CB400SF,2019,4420,ダークネスブラックメタリック（黑）,ホンダドリーム相模原,神奈川県,https://u-media.ne.jp/bike/detail.php?skanrino=1379966,1427800,
webike,1797595,webike:1797595,CB400スーパーフォア /ホンダ VTEC付低走行車!,2019,1006,アトモスフィアブルーメタリック（蓝白）,神奈川県 相模原市中央区 富士見2-8-6,神奈川県,https://moto.webike.net/bike_detail/1797595/,1427800,
webike,2409520,webike:2409520,CB400スーパーフォア /ホンダ 当社ワンオーナー ミツバ製ドライブレコードEDR21G搭載,2019,4420,ダークネスブラックメタリック（黑）,神奈川県 相模原市中央区 富士見2-8-6,神奈川県,https://moto.webike.net/bike_detail/2409520/,1427800,1496000
webike,2371593,webike:2371593,CB400スーパーフォア /ホンダ VTEC REVO ワイバーンフルエキマフラー フェンダーレス バーエンド LEDヘッドライト ゴールドホイール,2019,7494,ダークネスブラックメタリック（黑）,兵庫県 神戸市西区 枝吉1丁目223,兵庫県,https://moto.webike.net/bike_detail/2371593/,1420000,1492300
bikekan,283068,bikekan:283068,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【通販大歓迎】2019年モデル,2019,2640,アトモスフィアブルーメタリック（蓝白）,新潟中央店,新潟県,https://www.bikekan.jp/buy/detail/283068,1399900,1515700
bikekan,288853,bikekan:288853,ホンダ CB400 SUPER FOUR REVO（スーパーフォア） 最終型 ノーマル,2019,3135,キャンディークロモスフィアレッド（红白黑）,川崎店,神奈川県,https://www.bikekan.jp/buy/detail/288853,1399900,1486400
bikekan,288923,bikekan:288923,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【２０１９年モデル】エンジンガード USB電源 フェンダーレス★価格ご相談下さい！,2019,3628,アトモスフィアブルーメタリック（蓝白）,三郷上彦名店,埼玉県,https://www.bikekan.jp/buy/detail/288923,1399900,1515700
bikekan,290206,bikekan:290206,ホンダ CB400 SUPER FOUR ABS（スーパーフォア） 2019年モデル！ USB電源装備！ スライダー付き！,2019,1718,アトモスフィアブルーメタリック（蓝白）,京都木津川店,京都府,https://www.bikekan.jp/buy/detail/290206,1399900,1515700
bikekan,292086,bikekan:292086,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） スポーツグリップヒーター・ETC車載器標準装備,2019,447,キャンディークロモスフィアレッド（红白黑）,札幌店,北海道,https://www.bikekan.jp/buy/detail/292086,1399900,1515700
bikekan,292951,bikekan:292951,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【問い合わせは名古屋みなと店まで】低走行で外装ツヤ◎！社外グリップ、レバー ＥＴＣ、スマホホルダーなど小物類も充実！,2019,2562,アトモスフィアブルーメタリック（蓝白）,名古屋みなと店,愛知県,https://www.bikekan.jp/buy/detail/292951,1399900,1515700
8190,2100010622952,8190:2100010622952,HONDA 【残価据置 対象】CB400 SUPER FOUR HYPER VTEC Revo 2019年モデル USBポート装備 スペアキーあり,2019,10818,キャンディークロモスフィアレッド（红白黑）,入間店,埼玉県,https://www.8190.jp/wish/ds/bike/2100010622952/,1398000,
8190,2100011335356,8190:2100011335356,HONDA 【残価据置 対象】CB400 SUPER FOUR HYPER VTEC Revo 2019年モデル デイトナエンジンスライダー,2019,3219,ダークネスブラックメタリック（黑）,北九州店,福岡県,https://www.8190.jp/wish/ds/bike/2100011335356/,1398000,
webike,2406650,webike:2406650,CB400スーパーフォア /ホンダ,2019,1784,アトモスフィアブルーメタリック（蓝白）,奈良県 生駒郡三郷町 三室1-14-10,奈良県,https://moto.webike.net/bike_detail/2406650/,1398000,1504600
webike,2408858,webike:2408858,CB400スーパーフォア /ホンダ,2019,10818,キャンディークロモスフィアレッド（红白黑）,埼玉県 入間市 東藤沢3-6-6,埼玉県,https://moto.webike.net/bike_detail/2408858/,1398000,1504600
webike,2419445,webike:2419445,CB400スーパーフォア /ホンダ,2019,12335,ダークネスブラックメタリック（黑）,東京都 八王子市 松木34-8,東京都,https://moto.webike.net/bike_detail/2419445/,1398000,1460900
8190,2100011504554,8190:2100011504554,HONDA 【残価据置 対象】 CB400 SUPER FOUR HYPER VTEC Revo 2019年モデル/センタースタンド,2019,2268,アトモスフィアブルーメタリック（蓝白）,札幌店,北海道,https://www.8190.jp/wish/ds/bike/2100011504554/,1388000,
webike,2406014,webike:2406014,CB400スーパーフォア /ホンダ,2019,9290,ダークネスブラックメタリック（黑）,兵庫県 尼崎市 大島1−6−1ー1Ｆ,兵庫県,https://moto.webike.net/bike_detail/2406014/,1379000,1443600
webike,2393430,webike:2393430,CB400スーパーフォア /ホンダ HONDA CB400SF 社外レバー エンジンガード USB 追加カスタム可能,2019,5577,ダークネスブラックメタリック（黑）,大阪府 寝屋川市 河北東町1-15,大阪府,https://moto.webike.net/bike_detail/2393430/,1375000,1450500
8190,2100011661202,8190:2100011661202,HONDA CB400 SUPER FOUR HYPER VTEC Revo 2019年モデル エンジンガード カスタム,2019,11240,ダークネスブラックメタリック（黑）,豊橋店,愛知県,https://www.8190.jp/wish/ds/bike/2100011661202/,1358000,
webike,2414256,webike:2414256,CB400スーパーフォア /ホンダ,2019,16582,キャンディークロモスフィアレッド（红白黑）,静岡県 浜松市中央区原島町 525ナップス浜松店内,静岡県,https://moto.webike.net/bike_detail/2414256/,1358000,1420900
webike,2418453,webike:2418453,CB400スーパーフォア /ホンダ,2020,5549,ダークネスブラックメタリック（黑）,愛知県 小牧市 間々原新田下新池947,愛知県,https://moto.webike.net/bike_detail/2418453/,1358000,1464600
webike,2393536,webike:2393536,CB400スーパーフォア /ホンダ,2019,3281,キャンディークロモスフィアレッド（红白黑）,東京都 八王子市 松木34-8,東京都,https://moto.webike.net/bike_detail/2393536/,1350000,1412900
bikekan,292947,bikekan:292947,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 2019年モデル☆通販大歓迎！！,2019,2274,キャンディークロモスフィアレッド（红白黑）,新潟中央店,新潟県,https://www.bikekan.jp/buy/detail/292947,1349900,1465700
bikekan,293436,bikekan:293436,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） エンジンガード/ETC/USB,2019,4410,ダークネスブラックメタリック（黑）,港南店,神奈川県,https://www.bikekan.jp/buy/detail/293436,1349900,1465700
webike,2411942,webike:2411942,CB400スーパーフォア /ホンダ 2023年登録モデル グリップヒーター エンジンガード ETC2.0 純正スペアキー,2019,3866,キャンディークロモスフィアレッド（红白黑）,大阪府 大東市 三箇 3-11-48,大阪府,https://moto.webike.net/bike_detail/2411942/,1349000,1443100
8190,2100011270206,8190:2100011270206,HONDA 【残価据置 対象】CB400 SUPER FOUR HYPER VTEC Revo 2019年モデル エンジンガード グリップヒーター スペアキーあり,2019,7114,アトモスフィアブルーメタリック（蓝白）,草加店,埼玉県,https://www.8190.jp/wish/ds/bike/2100011270206/,1348000,
8190,2100011532939,8190:2100011532939,HONDA CB400 SUPER FOUR HYPER VTEC Revo モリワキ製マフラー エンジンガード USB カスタムシート フェンダーレス,2019,9254,キャンディークロモスフィアレッド（红白黑）,府中店,東京都,https://www.8190.jp/wish/ds/bike/2100011532939/,1348000,
8190,2100011559868,8190:2100011559868,HONDA CB400 SUPER FOUR HYPER VTEC 2019年モデル／NC42型／フルノーマル車両,2019,7438,キャンディークロモスフィアレッド（红白黑）,東松山店,埼玉県,https://www.8190.jp/wish/ds/bike/2100011559868/,1348000,
webike,2407655,webike:2407655,CB400スーパーフォア /ホンダ,2019,7114,アトモスフィアブルーメタリック（蓝白）,埼玉県 草加市 西町1275-1,埼玉県,https://moto.webike.net/bike_detail/2407655/,1348000,1410900
webike,2423901,webike:2423901,CB400スーパーフォア /ホンダ,2019,7438,キャンディークロモスフィアレッド（红白黑）,埼玉県 東松山市 六軒町21-14,埼玉県,https://moto.webike.net/bike_detail/2423901/,1348000,1410900
webike,2427362,webike:2427362,CB400スーパーフォア /ホンダ,2019,9254,キャンディークロモスフィアレッド（红白黑）,東京都 国分寺市 西元町2-3-20,東京都,https://moto.webike.net/bike_detail/2427362/,1348000,1410900
webike,2427032,webike:2427032,CB400スーパーフォア /ホンダ,2019,7270,ダークネスブラックメタリック（黑）,岡山県 岡山市中区 雄町374-1,岡山県,https://moto.webike.net/bike_detail/2427032/,1342000,1402100
webike,2313065,webike:2313065,CB400スーパーフォア /ホンダ,2019,9433,キャンディークロモスフィアレッド（红白黑）,埼玉県 川口市 弥平1-12-10,埼玉県,https://moto.webike.net/bike_detail/2313065/,1338000,1407000
webike,2391892,webike:2391892,CB400スーパーフォア /ホンダ,2023,7725,キャンディークロモスフィアレッド（红白黑）,三重県 桑名市 江場476,三重県,https://moto.webike.net/bike_detail/2391892/,1330000,1380000
8190,2100011475588,8190:2100011475588,HONDA 【残価据置 対象】CB400スーパーフォア【人気の400㏄ネイキッド☆】,2019,9820,キャンディークロモスフィアレッド（红白黑）,上熊本店,熊本県,https://www.8190.jp/wish/ds/bike/2100011475588/,1328000,
u-media,1372748,u-media:1372748,CB400SB,2021,8861,アトモスフィアブルーメタリック（蓝白）,ホンダドリーム相模原,神奈川県,https://u-media.ne.jp/bike/detail.php?skanrino=1372748,1320000,
webike,2027175,webike:2027175,CB400スーパーフォア /ホンダ,2019,5327,キャンディークロモスフィアレッド（红白黑）,神奈川県 厚木市 恩名1-10-1,神奈川県,https://moto.webike.net/bike_detail/2027175/,1320000,1437100
webike,2412107,webike:2412107,CB400スーパーフォア /ホンダ,2019,5947,キャンディークロモスフィアレッド（红白黑）,愛知県 名古屋市港区木場町 8-17,愛知県,https://moto.webike.net/bike_detail/2412107/,1300000,1406600
bikekan,288218,bikekan:288218,ホンダ CB400 SUPER FOUR VTEC REVO（CB400スーパーフォアVテックレボ） 生産終了モデル！エンジンガード、リアキャリア(ﾉｰﾏﾙ)戻し可)装備,2019,11274,アトモスフィアブルーメタリック（蓝白）,富田林店,大阪府,https://www.bikekan.jp/buy/detail/288218,1299900,1415700
bikekan,288716,bikekan:288716,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 【グリップヒーター ＥＴＣ装備】,2019,5939,キャンディークロモスフィアレッド（红白黑）,千葉鶴沢店,千葉県,https://www.bikekan.jp/buy/detail/288716,1299900,1415700
bikekan,292488,bikekan:292488,ホンダ CB400 SUPER BOLD'OR REVO ABS E-Package ★★NC42後期最終モデル！！★★,2019,1411,アトモスフィアブルーメタリック（蓝白）,富士店,静岡県,https://www.bikekan.jp/buy/detail/292488,1299900,1387000
bikekan,292943,bikekan:292943,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） ETC/グリップヒーター/リアキャリア/ビキニカウル有,2019,10177,キャンディークロモスフィアレッド（红白黑）,港南店,神奈川県,https://www.bikekan.jp/buy/detail/292943,1299900,1415700
bikekan,293003,bikekan:293003,ホンダ CB400 SUPER BOLD'OR REVO（スーパーボルドール） ETC エンジンガード キャリア ゼログラビティスクリーン,2019,6346,アトモスフィアブルーメタリック（蓝白）,熊本本山店,熊本県,https://www.bikekan.jp/buy/detail/293003,1299900,1415700
bikekan,293046,bikekan:293046,ホンダ CB400 SUPER FOUR REVO（スーパーフォア） セパハン ユーカナヤ製レバー,2019,8108,キャンディークロモスフィアレッド（红白黑）,天白店,愛知県,https://www.bikekan.jp/buy/detail/293046,1299900,1415700
bikekan,293655,bikekan:293655,ホンダ CB400 SUPER FOUR REVO（スーパーフォア） ETC グリップヒーター付き,2019,12844,ダークネスブラックメタリック（黑）,伏見店,京都府,https://www.bikekan.jp/buy/detail/293655,1299900,1385000
bikekan,294186,bikekan:294186,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） ETC/USB/エンジンガード▶ご来店（又は商談）予約割引対象！お電話お待ちしております！,2019,1546,キャンディークロモスフィアレッド（红白黑）,港北ニュータウン店,神奈川県,https://www.bikekan.jp/buy/detail/294186,1299900,1415700
webike,2428471,webike:2428471,CB400スーパーフォア [VTEC Revo] /ホンダ ABS 2021年式 グリップヒーター エンジンガード 盗難防止アラーム イモビライザー 新規車検2年,2021,25360,ダークネスブラックメタリック（黑）,千葉県 千葉市 花見川区 幕張本郷1-34-8,千葉県,https://moto.webike.net/bike_detail/2428471/,1299800,1399000
