来源,listing_id,listing_key,タイトル,年式,走行距離,色,販売店場所,url,本体価格,総価格
webike,2419445,webike:2419445,CB400スーパーフォア /ホンダ,2019,"12,335 km",,東京都 八王子市 松木34-8,https://moto.webike.net/bike_detail/2419445/,1398000,1460900
webike,2420274,webike:2420274,CB400スーパーフォア /ホンダ 最終型・2023年登録ワンオーナー屋内保管車 75104,2022,3 km,,宮城県 仙台市宮城野区 出花1丁目16-12,https://moto.webike.net/bike_detail/2420274/,1648000,1726000
webike,2420276,webike:2420276,CB400スーパーフォア /ホンダ 2021年登録最終モデル 75143,2021,"2,300 km",,宮城県 仙台市宮城野区 出花1丁目16-12,https://moto.webike.net/bike_detail/2420276/,1298000,1376000
webike,2420461,webike:2420461,CB400スーパーフォア /ホンダ ABS ハンドルアップスペーサー グリップヒーター ETC,2019,"1,547 km",,東京都 練馬区谷原 5-4-20,https://moto.webike.net/bike_detail/2420461/,1430000,1535900
webike,2420567,webike:2420567,CB400スーパーフォア /ホンダ NC42型最終モデル 前後LEDライト 社外スリップオンマフラー 400cc4気筒エンジン,2020,"18,585 km",,愛知県 名古屋市天白区 植田南2-1104,https://moto.webike.net/bike_detail/2420567/,1199000,1322300
webike,2422225,webike:2422225,CB400スーパーフォア /ホンダ,2019,"4,157 km",,兵庫県 神戸市西区 伊川谷町潤和711-1（バイクワールド伊川谷店内）,https://moto.webike.net/bike_detail/2422225/,1428000,1490900
webike,2423901,webike:2423901,CB400スーパーフォア /ホンダ,2019,"7,438 km",,埼玉県 東松山市 六軒町21-14,https://moto.webike.net/bike_detail/2423901/,1348000,1410900
webike,2424607,webike:2424607,CB400スーパーフォア /ホンダ ETC スマホホルダー USB マルチバー,2020,"34,346 km",,北海道 札幌市白石区 本通12丁目北1-15,https://moto.webike.net/bike_detail/2424607/,884400,
webike,2424610,webike:2424610,CB400スーパーフォア /ホンダ ETC スマホホルダー USB マルチバー,2020,"34,930 km",,北海道 札幌市白石区 本通12丁目北1-15,https://moto.webike.net/bike_detail/2424610/,990000,1078700
webike,2424867,webike:2424867,CB400スーパーフォア /ホンダ,2020,"44,037 km",,三重県 鈴鹿市 庄野羽山4-1-2,https://moto.webike.net/bike_detail/2424867/,1098000,1160900
webike,2426399,webike:2426399,CB400スーパーフォア /ホンダ,2019,"11,712 km",,神奈川県 横浜市港北区 菊名7-9-25,https://moto.webike.net/bike_detail/2426399/,1258000,1320900
webike,2426401,webike:2426401,CB400スーパーフォア /ホンダ,2019,"4,429 km",,岡山県 岡山市北区 大安寺南町1-1-73,https://moto.webike.net/bike_detail/2426401/,1478000,1584600
webike,2427032,webike:2427032,CB400スーパーフォア /ホンダ,2019,"7,270 km",,岡山県 岡山市中区 雄町374-1,https://moto.webike.net/bike_detail/2427032/,1342000,1402100
webike,2427078,webike:2427078,CB400スーパーフォア /ホンダ スマホホルダー 純正スペアキーカバー付き ワンオーナー フルノーマル,2019,"20,926 km",,大阪府 大東市 三箇 3-11-48,https://moto.webike.net/bike_detail/2427078/,1139000,1229800
webike,2427362,webike:2427362,CB400スーパーフォア /ホンダ,2019,"9,254 km",,東京都 国分寺市 西元町2-3-20,https://moto.webike.net/bike_detail/2427362/,1348000,1410900
webike,2427752,webike:2427752,CB400スーパーフォア /ホンダ,2019,"11,040 km",,新潟県 新潟市中央区 女池5-2-25,https://moto.webike.net/bike_detail/2427752/,1298000,1404600
webike,2428444,webike:2428444,CB400スーパーフォア /ホンダ VTEC Revo NC42 最終型 ETC ドラレコ ラジエターコアガード,2022,"7,888 km",,神奈川県 相模原市中央区 田名4147-2,https://moto.webike.net/bike_detail/2428444/,1248000,1305100
webike,2428471,webike:2428471,CB400スーパーフォア [VTEC Revo] /ホンダ ABS 2021年式 グリップヒーター エンジンガード 盗難防止アラーム イモビライザー 新規車検2年,2021,"25,360 km",,千葉県 千葉市 花見川区 幕張本郷1-34-8,https://moto.webike.net/bike_detail/2428471/,1299800,1399000
webike,2430037,webike:2430037,CB400スーパーフォア /ホンダ,2019,"6,954 km",,神奈川県 横浜市瀬谷区 阿久和南1-1-7,https://moto.webike.net/bike_detail/2430037/,1428000,1490900
webike,2430444,webike:2430444,CB400スーパーフォア /ホンダ,2019,"7,989 km",,埼玉県 東松山市 六軒町21-14,https://moto.webike.net/bike_detail/2430444/,1448000,1510900
webike,2430731,webike:2430731,CB400スーパーフォア /ホンダ,2019,"1,025 km",,広島県 広島市南区 東雲3-5-21,https://moto.webike.net/bike_detail/2430731/,1580000,1686600
webike,2431524,webike:2431524,CB400スーパーフォア /ホンダ ABS ETC リアフェンダーレス,2019,252 km,,東京都 練馬区谷原 5-4-20,https://moto.webike.net/bike_detail/2431524/,1490000,1596200
